bday	opening_date	role	actor	director	company	venue	gender	race	actor_flag	ethnicities
1940-04-25T00:00:00	2010-11-13T00:00:00	Shylock	Al Pacino	Daniel Sullivan	The Joseph Papp Public Theater / New York Shakespeare Festival	Broadhurst Theatre	male	none	yes	Italian,Italian,Sicilian,Italian
1939-10-24T00:00:00	2007-02-04T00:00:00	Shylock	F. Murray Abraham	Darko Tresnjak	Theatre for a New Audience	The Duke on 42nd Street	male	none	yes	Italian,Syrian-Assyrian,Syrian,Italian,Assyrian
1895-06-10T00:00:00	1955-06-29T00:00:00	Shylock	Frederick Valk	Tyrone Guthrie	Stratford Festival	Festival Outdoor Tent (Canada)	male	none	yes	Czech-Jewish,Czech-Jewish
1910-12-24T00:00:00	1931-11-16T00:00:00	Shylock	Fritz Leiber	director unknown	Chicago Civic Shakespeare Society	Royale Theatre	male	none	flagged
1868-04-10T00:00:00	1928-01-16T00:00:00	Shylock	George Arliss	Winthrop Ames	Winthrop Ames	Broadhurst Theatre	male	none	yes
1927-10-18T00:00:00	1962-06-19T00:00:00	Shylock	George C. Scott	Joseph Papp	Joseph Papp Public Theater/New York Shakespeare Festival	Delacorte Theater	male	none	yes
1905-11-26T00:00:00	1956-04-17T00:00:00	Shylock	George Emlyn Williams	Margaret Webster	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
no birthday on article	1928-05-07T00:00:00	Shylock	George Hayes	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	none	flagged
no birthday on article	1933-04-20T00:00:00	Shylock	George Hayes	Theodore Komisarjevsky	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	none	flagged
no birthday on article	1944-04-08T00:00:00	Shylock	George Hayes	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	none	flagged
1904-10-02T00:00:00	2007-06-01T00:00:00	Shylock	Graham Greene	RICHARD ROSE	Stratford Festival	Festival Theatre (Canada)	male	Black	flagged
1925-02-17T00:00:00	1999-05-25T00:00:00	Shylock	Hal Holbrook	Michael Kahn	Shakespeare Theatre Company	Lansburgh Theatre	male	none	yes
1879-08-21T00:00:00	1909-04-26T00:00:00	Shylock	Henry Ainley	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1838-02-06T00:00:00	1901-10-21T00:00:00	Shylock	Henry Irving	director unknown	Henry Irving-Ellen Terry Company	Knickerbocker Theatre	male	none	yes	Cornish
person not found on wiki	1908-02-17T00:00:00	Shylock	Henry Ludlowe	director unknown	Mr. Hazelton and Mr. North	Bijou Theatre	unknown	unknown
1829-03-02T00:00:00	1900-04-25T00:00:00	Shylock	Hermann Vezin	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes	French
1911-07-18T00:00:00	1976-06-08T00:00:00	Shylock	Hume Cronyn	Bill Glassco	Stratford Festival	Festival Theatre (Canada)	male	none	yes	English
1954-08-23T00:00:00	2002-01-29T00:00:00	Shylock	Ian Bartholomew	Loveday Ingram	Royal Shakespeare Company	Tour	male	none	yes
1944-08-11T00:00:00	2014-12-15T00:00:00	Shylock	Ian McDiarmid	Rupert Goold	Almeida Theatre	Almeida Theatre	male	none	yes
1944-08-11T00:00:00	1984-04-10T00:00:00	Shylock	Ian McDiarmid	John Caird	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes
person not found on wiki	2012-01-01T00:00:00	Shylock	Jacob Cohen	Ilan Ronen	Shakespeare's Globe	Shakespeare's Globe	unknown	unknown
1855-02-12T00:00:00	1903-05-25T00:00:00	Shylock	Jacob P. Adler	director unknown	unknown production company	American Theatre	male	none	yes	Russian-Jewish,Ukrainian-Jewish
person not found on wiki	1913-01-20T00:00:00	Shylock	John E. Kellerd	director unknown	unknown production company	Harris Theatre	unknown	unknown
1925-05-02T00:00:00	1984-08-10T00:00:00	Shylock	John Neville	Mark Lamos	Stratford Festival	Festival Theatre (Canada)	male	none	yes
1897-05-20T00:00:00	1947-07-11T00:00:00	Shylock	John Ruddock	Michael Benthall	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1892-06-23T00:00:00	1986-12-14T00:00:00	Shylock	John Seitz	Jim Simpson	Classic Stage Company	East 13th Street/CSC Theatre	unknown	none	flagged
1947-06-01T00:00:00	2016-01-01T00:00:00	Shylock	Jonathan Pryce	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe	male	none	yes
person not found on wiki	1885-04-27T00:00:00	Shylock	Jones Finch	Charles Bernard	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
1842-09-05T00:00:00	1921-08-03T00:00:00	Shylock	Louis Bouwmeester	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1903-05-04T00:00:00	1953-03-04T00:00:00	Shylock	Luther Adler	director unknown	New York City Drama Company	City Center	male	none	yes	Russian-Jewish
person not found on wiki	2015-05-21T00:00:00	Shylock	Makram J. Khoury	Polly Findlay	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	unknown	unknown
no birthday on article	2011-06-21T00:00:00	Shylock	Mark Nelson	Ethan McSweeny	Shakespeare Theatre Company	Sidney Harman Hall	male	none	yes
1871-11-23T00:00:00	1930-12-02T00:00:00	Shylock	Maurice Moscovitch	director unknown	Charles Dillingham	Times Square Theatre	male	none	yes
1908-03-20T00:00:00	1953-03-17T00:00:00	Shylock	Michael Scudamore Redgrave	Denis Carey	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes	English
1970-10-02T00:00:00	2017-07-07T00:00:00	Shylock	Mitchell Butel	Anne-Louise Sarks	Bell Shakespeare	Tour	male	none	yes	no birthday on article	1910-05-06T00:00:00	Shylock	James Carew	Francis Robert Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
person not found on wiki	1920-04-19T00:00:00	Shylock	Murray Carrington	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown	unknown
1857-07-25T00:00:00	1901-05-24T00:00:00	Shylock	Nat C. Goodwin	director unknown	unknown production company	Knickerbocker Theatre	male	none	yes
1945-08-15T00:00:00	1986-10-06T00:00:00	Shylock	Nigel Terry	Roger Michell	Royal Shakespeare Company	Tour	male	none	yes
person not found on wiki	2014-01-01T00:00:00	Shylock	Ognen Drangovski	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe	unknown	unknown
1871-01-26T00:00:00	1915-04-21T00:00:00	Shylock	Oscar Asche	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes	Norwegian
1940-07-13T00:00:00	2011-05-13T00:00:00	Shylock	Patrick Stewart	Rupert Goold	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-on-Avon	male	none	yes
1940-07-13T00:00:00	1978-05-11T00:00:00	Shylock	Patrick Stewart	John Barton	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon	male	none	yes
1930-08-11T00:00:00	2001-05-28T00:00:00	Shylock	Paul Soles	RICHARD MONETTE	Stratford Festival	Festival Theatre (Canada)	male	none	yes
1932-08-02T00:00:00	1960-04-12T00:00:00	Shylock	Peter O'Toole	Michael Langham	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes	Irish,Scottish,Scottish
1936-01-01T00:00:00	1998-09-28T00:00:00	Shylock	Philip Voss	Gregory Doran	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne	male	none	yes
1869-08-09T00:00:00	1926-07-07T00:00:00	Shylock	Randle Ayrton	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1869-08-09T00:00:00	1932-07-25T00:00:00	Shylock	Randle Ayrton	Theodore Komisarjevsky	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1869-08-09T00:00:00	1935-04-16T00:00:00	Shylock	Randle Ayrton	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1854-02-07T00:00:00	1917-04-16T00:00:00	Shylock	Robert B. Mantell	director unknown	Robert B. Mantell Repertoire	44th Street Theatre	male	none	yes
1909-04-09T00:00:00	1948-04-19T00:00:00	Shylock	Robert Helpmann	Michael Benthall	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
1937-10-11T00:00:00	1995-01-17T00:00:00	Shylock	Ron Leibman	Barry Edelstein	The Public Theater	Joseph Papp Public Theater/Anspacher Theater	male	none	yes
1955-01-01T00:00:00	2013-07-30T00:00:00	Shylock	Scott Wentworth	Antoni Cimolino	Stratford Festival	Festival Theatre (Canada)	male	none	yes
1852-12-17T00:00:00	1916-05-08T00:00:00	Shylock	Herbert Beerbohm Tree	director unknown	unknown production company	New Amsterdam Theatre	male	none	yes	Lithuanian-Jewish
1921-05-05T00:00:00	1973-03-01T00:00:00	Shylock	Sydney Walker	Ellis Rabb	Repertory Theatre of Lincoln Center	Vivian Beaumont Theatre	male	none	yes
1879-06-30T00:00:00	1925-12-26T00:00:00	Shylock	Walter Hampden	Walter Hampden	unknown production company	Hampden's Theatre	male	none	yes
1813-12-27T00:00:00	1883-04-17T00:00:00	Shylock	William Creswick	Elliot Galer	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	none	yes
person not found on wiki	1943-10-30T00:00:00	Shylock	John Carradine	John Carradine	John Carradine and His Shakespeare Players	Geary Theatre, San Francisco
person not found on wiki	1994-10-10T00:00:00	Shylock	Paul Butler	Peter Sellars	Goodman Theatre	Goodman Theatre, Chicago
person not found on wiki	2017-05-17T00:00:00	Shylock	Andrew Weems	Robert Cuccioli	The Shakespeare Theatre of New Jersey 	F. M. Kirby Shakespeare Theatre
