bday	opening_date	role	actor	director	company	venue	gender	race
person not found on wiki	1935-04-26T00:00:00	Prospero	Neil Porter	Randle Ayrton	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
1877-01-01T00:00:00	1919-08-08T00:00:00	Prospero	Charles Doran	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male
1893-10-03T00:00:00	1926-07-08T00:00:00	Prospero	George Skillan	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male
1866-03-28T00:00:00	1916-08-02T00:00:00	Prospero	Jerrold Robertshaw	Ben Greet	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male
1871-01-26T00:00:00	1897-04-19T00:00:00	Prospero	Oscar Asche	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male
person not found on wiki	1925-10-31T00:00:00	Prospero	A. Corney Grain	Beatrice Wilson	unknown production company	Century Theatre	unknown
no birthday on article	1947-05-09T00:00:00	Prospero	Robert Harris	Norman Wright	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
person not found on wiki	1904-05-06T00:00:00	Prospero	Arthur Whitby	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
1927-06-29T00:00:00	1963-04-02T00:00:00	Prospero	Tom Fleming	Clifford Williams	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	unknown
1920-05-02T00:00:00	1976-03-04T00:00:00	Prospero	William Hutt	William Hutt	Stratford Festival	Touring	unknown
1908-03-20T00:00:00	1951-06-26T00:00:00	Prospero	Michael Scudamore Redgrave	Michael Benthall	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male
1939-09-30T00:00:00	1982-06-09T00:00:00	Prospero	Len Cariou	John Hirsch	Stratford Festival	Festival Theatre (Canada)	male
1910-04-25T00:00:00	1968-07-16T00:00:00	Prospero	John Clements	David Jones	Chichester Festival	Chichester Festival Theatre	unknown
1928-04-05T00:00:00	1988-01-01T00:00:00	Prospero	Michael Bryant	Peter Hall	National Theatre	Cottesloe Theatre, National Theatre	unknown
no birthday on article	1988-07-27T00:00:00	Prospero	John Wood	Nicholas Hytner	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	unknown
1934-04-07T00:00:00	1970-10-15T00:00:00	Prospero	Ian Richardson	John Barton	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male
1908-03-20T00:00:00	1951-06-26T00:00:00	Prospero	Michael Redgrave	Michael Benthall	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male
1911-10-03T00:00:00	1978-05-02T00:00:00	Prospero	Michael Murray Hordern	Clifford Williams	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male
1904-04-14T00:00:00	1957-12-05T00:00:00	Prospero	John Gielgud	Peter Brook	Royal Shakespeare Company	Theatre Royal, Drury Lane, London	male
1904-04-14T00:00:00	1940-01-01T00:00:00	Prospero	John Gielgud	George Devine	unknown production company	Old Vic, London	male
1938-10-22T00:00:00	1983-09-13T00:00:00	Prospero	Derek Jacobi	Ron Daniels	Royal Shakespeare Company	Barbican Theatre, London	male
1904-04-14T00:00:00	1930-10-06T00:00:00	Prospero	John Gielgud	Harcourt Williams	unknown production company	Old Vic, London	male
1929-04-10T00:00:00	1988-11-26T00:00:00	Prospero	Max Von Sydow	Jonathan Miller	unknown production company	Old Vic, London	male
1938-01-01T00:00:00	1989-10-25T00:00:00	Prospero	Frank Langella	Jude Kelly	Roundabout Theatre Company	Union Square Theatre	male
1935-10-23T00:00:00	1992-01-01T00:00:00	Prospero	Ewan Hooper	Andrew Hay	unknown production company	Bristol Old Vic	male
person not found on wiki	1992-12-03T00:00:00	Prospero	Haruhiko Joh	Yukio Ninagawa	Royal Shakespeare Company	Barbican Theatre, London	unknown
1914-07-20T00:00:00	1959-01-01T00:00:00	Prospero	John Phillips	Douglas Seale	unknown production company	Old Vic, London	unknown
no birthday on article	1941-04-25T00:00:00	Prospero	George Hayes	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	unknown
1904-04-14T00:00:00	1974-01-01T00:00:00	Prospero	John Gielgud	Peter Hall	unknown production company	Old Vic, London	male
1945-08-11T00:00:00	1990-09-13T00:00:00	Prospero	David Horovitch	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre	male
1904-04-14T00:00:00	1948-10-26T00:00:00	Prospero	John Gielgud	Robert Atkins	unknown production company	Theatre Royal, Drury Lane, London	male
1913-09-07T00:00:00	1985-01-01T00:00:00	Prospero	Anthony Quayle	Nigel Jamieson	unknown production company	Theatre Royal, Bath	male
1946-06-08T00:00:00	1992-06-01T00:00:00	Prospero	Alan Scarfe	David William	Stratford Festival	Festival Theatre (Canada)	male
person not found on wiki	1991-08-27T00:00:00	Prospero	Jose Tejera	Carlos Gimenez	The Public Theater	Delacorte Theater	unknown
1941-01-01T00:00:00	1995-05-30T00:00:00	Prospero	Barry Otto	Neil Armfield	Company B	Belvoir Street Theatre, Sydney, Australia	male
1920-05-02T00:00:00	1962-06-20T00:00:00	Prospero	William Hutt	George McCowan	Stratford Festival	Festival Theatre (Canada)	unknown
person not found on wiki	1992-08-07T00:00:00	Prospero	Richard Gofton	director unknown	Shakespeare Inc.	Conway Hall, Red Lion Square, London WC1	unknown
person not found on wiki	1998-01-01T00:00:00	Prospero	David Bowen	director unknown	Compass Theatre Company	UK Tour	unknown
1948-01-13T00:00:00	2002-05-07T00:00:00	Prospero	Malcolm Storry	Michael Boyd	Royal Shakespeare Company	The Roundhouse, London	male
1925-05-26T00:00:00	1993-08-11T00:00:00	Prospero	Alec McCowen	Sam Mendes	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male
person not found on wiki	2005-03-22T00:00:00	Prospero	Philip Goodwin	Kate Whoriskey	Shakespeare Theatre Company	Lansburgh Theatre	unknown
1927-12-26T00:00:00	1996-01-01T00:00:00	Prospero	Denis Quilley	Patrick Garland	unknown production company	Open Air Theatre, Regent’s Park	male
1902-12-19T00:00:00	1952-03-25T00:00:00	Prospero	Ralph Richardson	Michael Benthall	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male
1911-10-03T00:00:00	1978-05-02T00:00:00	Prospero	Michael Hordern	Clifford Williams	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon	male
1940-11-15T00:00:00	1974-01-26T00:00:00	Prospero	Sam Waterston	Edward Berkeley	New York Shakespeare Festival Lincoln Center	Mitzi E. Newhouse Theater	male
1946-08-01T00:00:00	1999-01-05T00:00:00	Prospero	David Calder	Adrian Noble	Royal Shakespeare Company	Barbican Theatre, London	unknown
person not found on wiki	2011-03-15T00:00:00	Prospero	David Fielder	Peter Glanville	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	unknown
1950-12-17T00:00:00	1996-11-09T00:00:00	Prospero	Michael Cashman	Nancy Meckler	Shared Experience	Wolsey Theatre, Ipswich	male
1920-05-02T00:00:00	2005-05-30T00:00:00	Prospero	William Hutt	RICHARD MONETTE	Stratford Festival	Festival Theatre (Canada)	unknown
1920-09-09T00:00:00	1974-10-22T00:00:00	Prospero	Michael Aldridge	Keith Hack	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon	male
person not found on wiki	1997-09-02T00:00:00	Prospero	Ted van Griethuysen	Garland Wright	Shakespeare Theatre Company	Lansburgh Theatre	unknown
no birthday on article	2012-01-01T00:00:00	Prospero	Matthew Walker	director unknown	Grassroots Shakespeare London	Lion & Unicorn, Kentish Town	unknown
1920-05-02T00:00:00	1999-05-31T00:00:00	Prospero	William Hutt	Richard Monette	Stratford Festival	Festival Theatre (Canada)	unknown
no birthday on article	2016-01-01T00:00:00	Prospero	Tim McMullan	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe	male
1943-08-25T00:00:00	2014-08-08T00:00:00	Prospero	Lisa Harrow	Jade King Carroll	Chautauqua Theatre Company	Bratton Theatre Mainstage	female
1972-08-15T00:00:00	2012-04-25T00:00:00	Prospero	Jonathan Slinger	David Farr	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male
1949-06-14T00:00:00	2009-02-18T00:00:00	Prospero	Antony Sher	Janice Honeyman	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon	male
no birthday on article	2012-05-30T00:00:00	Prospero	Michael Winters	Jonathan Moscone	California Shakespeare Theater	Bruns Amphitheater	unknown
1938-02-17T00:00:00	2018-05-28T00:00:00	Prospero	Martha Henry	Antoni Cimolino	Stratford Festival	Festival Theatre	female
1950-09-24T00:00:00	2016-09-23T00:00:00	Prospero	Harriet Walter	Phyllida Lloyd	Donmar Warehouse	Donmar King's Cross	female
person not found on wiki	2010-05-15T00:00:00	Prospero	Gareth Fordred	Mark Leipacher	The Faction	Brockley Jack Theatre	unknown
1937-01-30T00:00:00	2000-01-01T00:00:00	Prospero	Vanessa Redgrave	Lenka Udovicki	Shakespeare's Globe	Shakespeare's Globe	female
1940-07-13T00:00:00	1995-06-22T00:00:00	Prospero	Patrick Stewart	George C. Wolfe	The Public Theater	Delacorte Theater	male
1938-10-22T00:00:00	2003-01-01T00:00:00	Prospero	Derek Jacobi	Michael Grandage	Sheffield Crucible Theatre Company/Old Vic	The Old Vic	male
1940-07-13T00:00:00	2006-08-08T00:00:00	Prospero	Patrick Stewart	Rupert Goold	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male
1940-11-15T00:00:00	2015-06-16T00:00:00	Prospero	Sam Waterston	Michael Greif	The Public Theater	Delacorte Theater	male
1953-10-26T00:00:00	2013-01-01T00:00:00	Prospero	Roger Allam	Jeremy Herrin	Shakespeare's Globe	Shakespeare's Globe	male
person not found on wiki	2015-09-08T00:00:00	Prospero	Larry Yando	Aaron Posner & Teller	Chicago Shakespeare Theater	The Yard	unknown
person not found on wiki	2013-08-24T00:00:00	Prospero	Oran Marc de Baritault	Matthew Windham	Utah Children’s Theatre	Utah Children’s Theatre, South Salt Lake, UT, USA	unknown
1946-07-06T00:00:00	1995-06-29T00:00:00	Prospero	Paul Jesson	David Thacker	Royal Shakespeare Company	Young Vic, London	male
1961-01-12T00:00:00	2016-11-17T00:00:00	Prospero	Simon Russell Beale	director unknown	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male
1944-08-11T00:00:00	2000-01-01T00:00:00	Prospero	Ian McDiarmid	Jonathan Kent	unknown production company	Almeida Theatre, London, Islington	male
1946-02-07T00:00:00	2007-05-23T00:00:00	Prospero	Pete Postlethwaite	Greg Hersov	Royal Exchange Theatre	Royal Exchange Theatre	male
1936-01-01T00:00:00	2000-11-24T00:00:00	Prospero	Philip Voss	James Macdonald	Royal Shakespeare Company	Tour	male
1929-12-13T00:00:00	2010-06-25T00:00:00	Prospero	Christopher Plummer	Des McAnuff	Stratford Festival	Festival Theatre (Canada)	male
1952-11-30T00:00:00	2008-09-18T00:00:00	Prospero	Mandy Patinkin	Brian Kulick	Classic Stage Company	East 13th Street/CSC Theatre	male
