bday	opening_date	role	actor	director	company	venue	gender	race
1904-04-14T00:00:00	1950-07-18T00:00:00	King Lear	John Gielgud	Anthony Quayle	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	
1869-08-09T00:00:00	1931-04-13T00:00:00	Lear	Randle Ayrton	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	
1936-01-01T00:00:00	1989-01-01T00:00:00	King Lear	Philip Voss	John Retallack	Oxford Stage Company	UK Tour	male	
1940-10-19T00:00:00	1983-03-15T00:00:00	King Lear	Michael Gambon	Adrian Noble	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne	male	
1920-05-02T00:00:00	1988-06-04T00:00:00	King Lear	William Hutt	Robin Phillips	Stratford Festival	Tom Patterson Theatre (Canada)	unknown	
1911-12-05T00:00:00	1951-01-01T00:00:00	King Lear	William Devlin	Hugh Hunt	unknown production company	Old Vic, London	unknown	
1904-04-14T00:00:00	1940-01-01T00:00:00	Lear	John Gielgud	Lewis Casson	unknown production company	Old Vic, London	male	
1904-04-14T00:00:00	1955-06-06T00:00:00	King Lear	John Gielgud	George Devine	Royal Shakespeare Company	Tour	male	
no birthday on article	1980-09-14T00:00:00	King Lear	Peter Ustinov	Robin Phillips	Stratford Festival	Avon Theatre (Canada)	male	
1937-12-31T00:00:00	1986-12-03T00:00:00	Lear	Anthony Hopkins	David Hare	National Theatre	Olivier Theatre, National Theatre	male	
1925-02-17T00:00:00	1990-10-09T00:00:00	King Lear	Hal Holbrook	Gerald Freedman	Roundabout Theatre Company	Union Square Theatre	male	
person not found on wiki	1988-08-31T00:00:00	King Lear	Richard Haddon Haines	Cicely Berry	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon	unknown	
1922-06-11T00:00:00	1985-05-26T00:00:00	King Lear	Douglas Campbell	John Hirsch	Stratford Festival	Festival Theatre (Canada)	unknown	
1896-10-01T00:00:00	1943-04-30T00:00:00	King Lear	Abraham Sofaer	Peter Creswell	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	
1939-08-12T00:00:00	2001-01-01T00:00:00	King Lear	Oliver Ford Davies	Jonathan Kent	unknown production company	Almeida Theatre, London, Islington	male	
no birthday on article	1991-02-12T00:00:00	Lear	John Wood	Nicholas Hytner	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne	unknown	
1926-01-14T00:00:00	1995-01-01T00:00:00	King Lear	Warren Mitchell	Jude Kelly	unknown production company	Hackney Empire	male	
1937-08-05T00:00:00	1997-01-01T00:00:00	King Lear	Alan Howard	Peter Hall	Peter Hall Company	Old Vic, London	male	
person not found on wiki	2002-08-24T00:00:00	King Lear	CHRISTOPHER PLUMMER	JONATHAN MILLER	Stratford Festival	Festival Theatre (Canada)	unknown	
1869-08-09T00:00:00	1931-07-03T00:00:00	Lear	Randle Ayrton	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	
1908-03-20T00:00:00	1953-07-14T00:00:00	King Lear	Michael Scudamore Redgrave	George Devine	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	male	
1946-06-01T00:00:00	1990-01-01T00:00:00	King Lear	Brian Cox	Deborah Warner	National Theatre	Lyttelton Theatre, National Theatre	unknown	
no birthday on article	1997-08-01T00:00:00	King Lear	Kathryn Hunter	Helena Kaut-Howson	Young Vic/IP Productions	Young Vic	female	
no birthday on article	2002-09-23T00:00:00	King Lear	Nonso Anozie	Declan Donnellan	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	male	Black
1929-04-05T00:00:00	1999-12-03T00:00:00	King Lear	Nigel Hawthorne	Yukio Ninagawa	Royal Shakespeare Company	The Royal Shakespeare Theatre, Stratford-upon-Avon	male	
1932-02-10T00:00:00	1996-01-01T00:00:00	King Lear	Barrie Ingham	Sarah Parkin	unknown production company	Ludlow Castle	male	
1931-09-12T00:00:00	1997-01-01T00:00:00	Lear	Ian Holm	Richard Eyre	National Theatre	Cottesloe Theatre, National Theatre	male	
person not found on wiki	2006-11-15T00:00:00	King Lear	Zho Ye Mang	David K S Tse	Royal Shakespeare Company	The Cube, Royal Shakespeare Theatre, Stratford-upon-Avon	unknown	
1948-10-02T00:00:00	2004-02-13T00:00:00	King Lear	Avery Brooks	Harold Scott	Yale Repertory Theatre	University Theatre	male	Black,Black,Black,Black,Black,Black
1936-11-20T00:00:00	2000-01-01T00:00:00	King Lear	Bill Wallis	Jan Sargent	unknown production company	Bristol Old Vic	male	
person not found on wiki	2000-08-31T00:00:00	Lear	Ted van Griethuysen	Michael Kahn	Shakespeare Theatre Company	Lansburgh Theatre	unknown	
1934-01-14T00:00:00	1990-01-01T00:00:00	King Lear	Richard Briers	Kenneth Branagh	Renaissance Theatre Company	UK Tour	male	
1948-02-05T00:00:00	1993-01-01T00:00:00	King Lear	Tom Wilkinson	Max Stafford Clark	unknown production company	Royal Court, London	male	
1939-07-16T00:00:00	2004-06-30T00:00:00	King Lear	Corin Redgrave	Bill Alexander	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	
1947-04-25T00:00:00	2007-09-15T00:00:00	King Lear	Jeffrey DeMunn	Lisa Peterson	California Shakespeare Theater	Bruns Amphitheater	male	
1941-07-29T00:00:00	2005-05-17T00:00:00	King Lear	David Warner	Steven Pimlott	Chichester Festival	Chichester Festival Theatre	unknown	
1946-08-01T00:00:00	2008-01-01T00:00:00	King Lear	David Calder	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe	unknown	
1939-10-24T00:00:00	1996-01-09T00:00:00	Lear	F. Murray Abraham	Adrian Hall	The Public Theater	Joseph Papp Public Theater/Anspacher Theater	male	
1937-02-25T00:00:00	1999-09-08T00:00:00	King Lear	Tom Courtenay	Gregory Hersov	Royal Exchange Theatre	Royal Exchange Theatre	male	
1931-07-14T00:00:00	1993-05-20T00:00:00	King Lear	Robert Stephens	Adrian Noble	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	
1951-09-10T00:00:00	2010-06-24T00:00:00	King Lear	Harry Groener	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company	male	
1935-03-27T00:00:00	2001-01-01T00:00:00	King Lear	Julian Glover	Barry Kyle	Shakespeare's Globe	Shakespeare's Globe	male	
person not found on wiki	1999-12-03T00:00:00	King Lear	Nigel Barnard Hawthorne	Yukio Ninagawa	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	unknown	
1946-01-12T00:00:00	2006-10-04T00:00:00	Lear	Andre De Shields	Alfred Preisser	Classical Theatre of Harlem	HSA Theatre	male	
1947-10-24T00:00:00	2007-03-07T00:00:00	King Lear	Kevin Kline	James Lapine	The Public Theater	Joseph Papp Public Theater/Anspacher Theater	male	
1928-02-29T00:00:00	2013-09-29T00:00:00	Lear	Joss Ackland	director unknown	The Old Vic and St James Theatre	The Old Vic and St James Theatre	male	
1944-08-25T00:00:00	2015-09-16T00:00:00	King Lear	Anthony Heald	Amanda Dehnert	California Shakespeare Theater	Bruns Amphitheater	male	
1940-11-07T00:00:00	2010-06-24T00:00:00	King Lear	Dakin Matthews	Bart DeLorenzo	Antaeus Theatre Company	Antaeus Theatre Company	male	
person not found on wiki	2007-05-28T00:00:00	King Lear	BRIAN BEDFORD	BRIAN BEDFORD	Stratford Festival	Festival Theatre (Canada)	unknown	
1951-05-23T00:00:00	2016-05-07T00:00:00	Lear	Don Warrington	Michael Buffong	Birmingham Repertory Theatre	Royal Exchange Theatre, Manchester	male	Black
1946-02-07T00:00:00	2008-11-29T00:00:00	King Lear	Pete Postlethwaite	Rupert Goold	Everyman Playhouse/Headlong/Young Vic	Everyman Theatre, Liverpool	male	
1961-01-12T00:00:00	2014-01-23T00:00:00	King Lear	Simon Russell Beale	Sam Mendes	National Theatre	Olivier Theatre	male	
1938-10-22T00:00:00	2010-01-01T00:00:00	King Lear	Derek Jacobi	Michael Grandage	unknown production company	Donmar Warehouse, London	male	
1907-05-22T00:00:00	1946-09-24T00:00:00	Lear	Laurence Olivier	Laurence Olivier	Old Vic Co.	New Theatre, London	male	
1940-11-15T00:00:00	2011-11-08T00:00:00	King Lear	Sam Waterston	James G. MacDonald	The Public Theater	Joseph Papp Public Theater/Newman Theater	male	
1938-01-01T00:00:00	2013-10-31T00:00:00	King Lear	Frank Langella	Angus Jackson	Chichester Festival	Chichester Festival Theatre	male	
no birthday on article	2016-10-25T00:00:00	King Lear	Glenda Jackson	Deborah Warner	Old Vic	Old Vic	female	
1949-06-14T00:00:00	2016-09-01T00:00:00	King Lear	Antony Sher	Gregory Doran	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	
1948-08-14T00:00:00	2014-01-01T00:00:00	King Lear	Joseph Marcell	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe	male	Black
person not found on wiki	2013-01-01T00:00:00	King Lear	Aleh Sidorchik	Vladimir Shcherban	Shakespeare's Globe	Shakespeare's Globe	unknown	
1958-08-22T00:00:00	2014-05-26T00:00:00	King Lear	Colm Feore	Antoni Cimolino	Stratford Festival	Festival Theatre (Canada)	male	
1953-05-27T00:00:00	2010-03-02T00:00:00	King Lear	Greg Hicks	David Farr	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon	male	
1941-06-02T00:00:00	2009-06-16T00:00:00	Lear	Stacy Keach	Robert Falls	Shakespeare Theatre Company	Sidney Harman Hall	male	
1945-10-19T00:00:00	2014-08-05T00:00:00	Lear	John Lithgow	Daniel Sullivan	The Public Theater	Delacorte Theater	male	
person not found on wiki	2014-09-09T00:00:00	King Lear	Larry Yando	Barbara Gaines	Chicago Shakespeare Theater	The Yard	unknown	
1939-05-25T00:00:00	2007-05-31T00:00:00	King Lear	Ian McKellen	Trevor Nunn	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon	male	
