bday	opening_date	role	actor	director	company	venue	gender	race	actor_flag	ethnicities
1943-04-26T00:00:00	1993-05-31T00:00:00	Mark Antony	Leon Pownall	Richard Monette	Stratford Festival	Festival Theatre (Canada)	male	none	yes	
1944-01-23T00:00:00	1993-08-05T00:00:00	Mark Antony	Barry Lynch	David Thacker	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon	male	none	yes	
1952-07-06T00:00:00	1993-11-23T00:00:00	Mark Antony	Gary Sloan	Joe Dowling	Shakespeare Theatre Company	Lansburgh Theatre	unknown	unknown		
1970-11-15T00:00:00	1994-01-01T00:00:00	Mark Antony	Danny Sapani	Robert Delamere	unknown production company	Royal Exchange Theatre, Manchester	male	Black	yes	Ghanaian
1954-12-22T00:00:00	1995-07-05T00:00:00	Mark Antony	Hugh Quarshie	Peter Hall	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	Black,Black	yes	Dutch,Dutch,English
1946-12-12T00:00:00	1995-11-26T00:00:00	Antony	Barrie Rutter	Barrie Rutter	Northern Broadsides	Riverside	male	none	yes	
1965-12-08T00:00:00	1997-02-18T00:00:00	Antony	David Harewood	Vanessa Redgrave	The Public Theater	Joseph Papp Public Theater/Anspacher Theater	male	Black	yes	Barbadian
1946-02-21T00:00:00	1998-10-12T00:00:00	Mark Antony	Alan Rickman	Sean Mathias	National Theatre	Olivier Theatre, National Theatre	male	none	yes	English,Irish,Welsh
1957-02-12T00:00:00	1998-11-18T00:00:00	Antony	Joseph Siravo	Lisa Peterson	Berkeley Repertory Theatre	Berkeley Repertory Theatre	male	none	yes	Italian
1942-05-15T00:00:00	1999-01-01T00:00:00	Antony	Paul Shelley	Giles Block	Shakespeare's Globe	Shakespeare's Globe	male	none	yes	
1964-01-01T00:00:00	1999-01-01T00:00:00	Mark Antony	Mark Lewis Jones	Mark Rylance	Shakespeare's Globe	Shakespeare's Globe	male	none	yes	
1934-02-17T00:00:00	1999-11-09T00:00:00	Mark Antony	Alan Bates	Steven Pimlott	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne	male	none	yes	
no birthday on article	2001-07-26T00:00:00	Mark Antony	Tom Mannion	Edward Hall	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes	
1946-12-25T00:00:00	2002-08-28T00:00:00	Mark Antony	Stuart Wilson	Michael Attenborough	Royal Shakespeare Company	Haymarket Theatre, London	male	none	yes	
person not found on wiki	2003-01-19T00:00:00	Mark Antony	Graham Winton	Karin Coonrod	Theatre for a New Audience	Lucille Lortel Theatre	unknown	unknown		
1953-10-29T00:00:00	2003-05-28T00:00:00	Mark Antony	Peter Donaldson	MARTHA HENRY	Stratford Festival	Tom Patterson Theatre (Canada)	unknown	none		
1995-07-14T00:00:00	2004-10-20T00:00:00	Mark Antony	Gary Oliver	David Farr	Royal Shakespeare Company	Tour	unknown	none	flagged	
no birthday on article	2005-02-23T00:00:00	Antony	Tom Mannion	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre	male	none	yes	
1962-06-12T00:00:00	2005-04-03T00:00:00	Marc Antony	Eamonn Walker	Daniel Sullivan	Carole Shorenstein Hays and Freddy DeMann	Belasco Theatre	male	Black	yes	Grenadian,Trinidad and Tobago
1946-04-03T00:00:00	2006-01-01T00:00:00	Marc Antony	Nicholas Jones	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe	male	none	yes	Welsh
1940-07-13T00:00:00	2006-04-19T00:00:00	Mark Antony	Patrick Stewart	Gregory Doran	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	male	none	yes	
1971-01-01T00:00:00	2006-05-16T00:00:00	Mark Antony	Ariyon Bakare	Sean Holmes	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	Black	yes	Nigerian,Yoruba
1982-02-07T00:00:00	2007-11-24T00:00:00	Mark Antony	Kelly Williams	Dee Evans	Mercury Theatre Co.	Mercury Theatre, Colchester	unknown	Asian	flagged	Filipino,American
1966-06-30T00:00:00	2008-04-03T00:00:00	Antony	Marton Csokas	Darko Tresnjak	Theatre for a New Audience	The Duke on 42nd Street	male	none	yes	Hungarian,English,Danish,Irish
1965-01-01T00:00:00	2008-04-26T00:00:00	Mark Antony	Andrew Long	Michael Kahn	Shakespeare Theatre Company	Sidney Harman Hall	unknown	none	flagged	
1971-11-29T00:00:00	2009-03-26T00:00:00	Antony	Alun Raglan	Andrew Hilton	Shakespeare at the Tobacco Factory	Tobacco Factory Theatres	unknown	unknown		
1971-03-20T00:00:00	2009-06-06T00:00:00	Mark Antony	Jonathan Goad	James MacDonald	Stratford Festival	Avon Theatre (Canada)	unknown	unknown		
1947-09-04T00:00:00	2010-11-13T00:00:00	Mark Antony	Jeffery Kissoon	Janet Suzman	unknown production company	Liverpool Playhouse	male	Black	yes	
1964-01-05T00:00:00	2011-01-10T00:00:00	Mark Antony	Darrell D'Silva	Lucy Bailey	Royal Shakespeare Company	The Roundhouse, London	male	none	yes	Italian
1985-09-23T00:00:00	2012-01-01T00:00:00	Mark Antony	Cush Jumbo	Phyllida Lloyd	unknown production company	Donmar Warehouse, London	female	Black	yes	Nigerian
1973-08-05T00:00:00	2012-08-15T00:00:00	Mark Antony	Ray Fearon	Gregory Doran	Royal Shakespeare Company	Noel Coward Theatre, London	male	none	yes	
1967-08-31T00:00:00	2013-11-13T00:00:00	Mark Antony	Jonathan Cake	Tarell Alvin McCraney	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	male	none	yes	
1992-07-01T00:00:00	2014-01-01T00:00:00	Mark Antony	Luke Thompson	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe	unknown	unknown		
1954-01-01T00:00:00	2014-01-01T00:00:00	Antony	Clive Wood	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe	male	none	yes	
1957-04-20T00:00:00	2014-08-14T00:00:00	Mark Antony	Geraint Wyn Davies	Gary Griffin	Stratford Festival	Tom Patterson Theatre (Canada)	male	none	yes	Welsh
1969-07-01T00:00:00	2017-03-23T00:00:00	Mark Antony	Antony Byrne	Iqbal Khan	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	unknown	unknown		
1867-10-17T00:00:00	2017-03-23T00:00:00	Mark Antony	James Corrigan	Angus Jackson	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	male	none	yes	
1993-01-01T00:00:00	2018-03-16T00:00:00	Antony	Matt Consalvo	Ashley Brooke Monroe	Classic Stage Company	East 13th Street/CSC Theatre	unknown	unknown		
