7 August 1951	unknown opening	Ophelia	Suzanne Bertish	Director:Toby Robertson
7 January 1982	7th October 2010	Ophelia	Ruth Negga	Director:Nicholas Hytner
9 May 1957	12th October 1987	Ophelia	Tessa Peake-Jones	Director:Roger Michell
14 April 1904	12th October 1936	Hamlet	John Gielgud	Director:Guthrie McClintic
21 January 1922	unknown opening	Hamlet	Paul Scofield	Director:Peter Brook
10 July 1966	unknown opening	Ophelia	Gina Bellman	Director:Peter Hall
2 February 1956	12th October 1987	Hamlet	Philip Franks	Director:Roger Michell
22 October 1938	1st August 1979	Hamlet	Derek Jacobi	Director:Toby Robertson
24 April 1876	22nd April 1909	Ophelia	Hutin Britton	Director:F R Benson
7 January 1982	7th October 2010	Ophelia	Ruth Negga	Director:Nicholas Hytner
3 June 1908	unknown opening	Ophelia	Adele Dixon	Director:Harcourt Williams
17 February 1978	7th October 2010	Hamlet	Rory Kinnear	Director:Nicholas Hytner
May 15, 1879	22nd April 1909	Hamlet	Matheson Lang	Director:F R Benson
29 April 1957	16th March 1989	Hamlet	Daniel Day-Lewis	Director:Richard Eyre
26 February 1864	20th April 1903	Ophelia	Constance Benson	Director:F R Benson
10 May 1906	14th July 1930	Ophelia	Joyce Bland	Director:W Bridges-Adams
person not found on wiki	20th April 1903	Hamlet	F R Benson	Director:F R Benson
no birthday on article	14th July 1930	Hamlet	George Hayes	Director:W Bridges-Adams
18 January 1960	11th November 1989	Romeo	Mark Rylance	Director:Terry Hands
27 March 1957	unknown opening	Hamlet	Stephen Dillane	Director:Peter Hall
25 May 1939	unknown opening	Hamlet	Ian McKellen	Director:unknown
no birthday on article	11th November 1989	Juliet	Georgia Slowe	Director:Terry Hands
11 May 1963	unknown opening	Ophelia	Natasha Richardson	Director:David Thacker
28 July 1890	22nd April 1910	Ophelia	Marie Lohr	Director:unknown
17 February 1978	7th October 2010	Hamlet	Rory Kinnear	Director:Nicholas Hytner
22 October 1938	unknown opening	Hamlet	Derek Jacobi	Director:Toby Robertson
person not found on wiki	11th July 1923	Ophelia	Beatrice Smith	Director:Gertrude Burnett
person not found on wiki	18th December 1992	Ophelia	Joanne Pearce	Director:Adrian Noble
no birthday on article	unknown opening	Hamlet	Matthew Marsh	Director:David Thacker
person not found on wiki	unknown opening	Ophelia	Louise Ironside	Director:Kenny Ireland
19 September 1927	22nd October 1963	Ophelia	Rosemary Harris	Director:Laurence Olivier
no birthday on article	unknown opening	Hamlet	Tom McGovern	Director:Kenny Ireland
17 December 1852	22nd April 1910	Hamlet	Herbert Beerbohm Tree	Director:unknown
person not found on wiki	22nd October 1963	Hamlet	Peter O Toole	Director:Laurence Olivier
15 February 1931	23rd April 1948	Ophelia	Claire Bloom	Director:Michael Benthall
person not found on wiki	24th April 1879	Ophelia	Ellen L Wallis	Director:Barry Sullivan
9 May 1932	11th April 1961	Ophelia	Geraldine McEwan	Director:Peter Wood
no birthday on article	24th April 1944	Ophelia	Anna Burden	Director:Robert Atkins
no birthday on article	24th April 1879	Hamlet	Barry Sullivan	Director:Barry Sullivan
7 January 1982	7th October 2010	Ophelia	Ruth Negga	Director:Nicholas Hytner
person not found on wiki	6th July 1936	Ophelia	Valerie Tudor	Director:B Iden Payne
13 May 1957	16th April 1985	Ophelia	Frances Barber	Director:Ron Daniels
29 June 1928	11th April 1961	Hamlet	Ian Bannen	Director:Peter Wood
26 February 1864	24th April 1888	Ophelia	Constance Benson	Director:F R Benson
20 April 1902	6th July 1936	Hamlet	Donald Wolfit	Director:B Iden Payne
person not found on wiki	24th April 1888	Hamlet	F R Benson	Director:F R Benson
no birthday on article	24th April 1944	Hamlet	John Byron	Director:Robert Atkins
10 December 1960	18th December 1992	Hamlet	Kenneth Branagh	Director:Adrian Noble
5 May 1944	16th April 1985	Hamlet	Roger Rees	Director:Ron Daniels
14 April 1904	unknown opening	Hamlet	John Gielgud	Director:Harcourt Williams
no birthday on article	23rd August 1997	Ophelia	Derbhle Crotty	Director:Matthew Warchus
17 February 1978	7th October 2010	Hamlet	Rory Kinnear	Director:Nicholas Hytner
no birthday on article	19th August 1965	Ophelia	Glenda Jackson	Director:Peter Hall
4 January 1983	10th November 2001	Ophelia	Kerry Condon	Director:Steven Pimlott
3 July 1973	30th November 1996	Ophelia	Emma Cunniffe	Director:John Retallack
21 January 1922	23rd April 1948	Hamlet	Paul Scofield	Director:Michael Benthall
7 January 1982	7th October 2010	Ophelia	Ruth Negga	Director:Nicholas Hytner
no birthday on article	19th August 1965	Hamlet	David Warner	Director:Peter Hall
26 July 1930	unknown opening	Ophelia	Barbara Jefford	Director:Michael Benthall
person not found on wiki	30th November 1996	Hamlet	Ian Pepperell	Director:John Retallack
person not found on wiki	4th August 1914	Ophelia	Ethel McDowall	Director:F R Benson
no birthday on article	unknown opening	Hamlet	John Neville	Director:Michael Benthall
person not found on wiki	4th August 1914	Hamlet	F R Benson	Director:F R Benson
24 October 1967	30th June 1994	Ophelia	Jacqueline McKenzie	Director:Neil Armfield
no birthday on article	15th November 2008	Ophelia	Mariah Gale	Director:Gregory Doran
person not found on wiki	5th November 1985	Ophelia	Deborah Poplett	Director:Cicely Berry
10 May 1957	23rd August 1997	Hamlet	Alex Jennings	Director:Matthew Warchus
8 April 1930	3rd June 1958	Ophelia	Dorothy Tutin	Director:Glen Byam Shaw
14 April 1904	11th July 1923	Hamlet	John Gielgud	Director:Gertrude Burnett
person not found on wiki	18th September 1993	Ophelia	Hilary Lyon	Director:Stephen Unwin
18 September 1956	5th November 1985	Hamlet	Tim McInnerny	Director:Cicely Berry
17 February 1978	7th October 2010	Hamlet	Rory Kinnear	Director:Nicholas Hytner
23 January 1962	30th June 1994	Hamlet	Richard Roxburgh	Director:Neil Armfield
person not found on wiki	unknown opening	Ophelia	Cherry Cottrell	Director:Tyrone Guthrie
3 November 1933	unknown opening	Hamlet	Jeremy Brett	Director:Frank Hauser
24 October 1882	11th August 1916	Ophelia	Sybil Thorndike	Director:Ben Greet
19 June 1966	10th November 2001	Hamlet	Samuel West	Director:Steven Pimlott
16 April 1963	23rd November 1989	Ophelia	Rebecca Saire	Director:Ron Daniels
24 September 1950	unknown opening	Ophelia	Harriet Walter	Director:Richard Eyre
March 5, 1882	11th August 1916	Hamlet	William Stack	Director:Ben Greet
18 September 1894	28th June 1939	Ophelia	Fay Compton	Director:John Gielgud
15 June 1945	4th April 1974	Ophelia	Nicola Pagett	Director:Jonathan Miller
20 March 1908	3rd June 1958	Hamlet	Michael Redgrave	Director:Glen Byam Shaw
person not found on wiki	unknown opening	Ophelia	Ruth Kenley	Director:Deborah Warner
27 January 1965	18th September 1993	Hamlet	Alan Cumming	Director:Stephen Unwin
person not found on wiki	unknown opening	Hamlet	Nicholas Jeune	Director:Deborah Warner
11 March 1942	4th April 1974	Hamlet	Peter Eyre	Director:Jonathan Miller
no birthday on article	25th October 2008	Romeo	David Dawson	Director:Neil Bartlett
person not found on wiki	25th October 2008	Juliet	Anneika Rose	Director:Neil Bartlett
10 May 1906	1st July 1929	Ophelia	Joyce Bland	Director:W Bridges-Adams
person not found on wiki	unknown opening	Ophelia	Joanne Wootton	Director:Simon Usher
no birthday on article	1st July 1929	Hamlet	George Hayes	Director:W Bridges-Adams
18 February 1933	unknown opening	Ophelia	Mary Ure	Director:Peter Brook
person not found on wiki	27th April 1910	Ophelia	N De Silva	Director:Martin Harvey
10 May 1968	unknown opening	Hamlet	Adrian Scarborough	Director:Simon Usher
1 June 1947	unknown opening	Hamlet	Jonathan Pryce	Director:Richard Eyre
18 January 1960	5th April 1989	Romeo	Mark Rylance	Director:Terry Hands
7 June 1943	17th September 1981	Hamlet	Michael Pennington	Director:John Barton
18 January 1960	23rd November 1989	Hamlet	Mark Rylance	Director:Ron Daniels
26 February 1864	20th April 1891	Ophelia	Constance Benson	Director:F R Benson
person not found on wiki	16th October 2004	Ophelia	Meg Fraser	Director:Michael Boyd
no birthday on article	5th April 1989	Juliet	Georgia Slowe	Director:Terry Hands
person not found on wiki	18th September 1993	Ophelia	Hilary Lyon	Director:Stephen Unwin
person not found on wiki	14th November 1942	Ophelia	Joy Parker	Director:Basil C Langton
person not found on wiki	20th April 1891	Hamlet	F R Benson	Director:F R Benson
18 April 1971	15th November 2008	Hamlet	David Tennant	Director:Gregory Doran
no birthday on article	25th October 2008	Romeo	David Dawson	Director:Neil Bartlett
26 July 1945	4th June 1970	Ophelia	Helen Mirren	Director:Trevor Nunn
person not found on wiki	28th July 1911	Ophelia	Ethel McDowall	Director:F R Benson
26 February 1864	16th April 1902	Ophelia	Constance Benson	Director:F R Benson
person not found on wiki	25th October 2008	Juliet	Anneika Rose	Director:Neil Bartlett
9 January 1912	14th November 1942	Hamlet	Basil Langton	Director:Basil C Langton
person not found on wiki	28th July 1911	Hamlet	F R Benson	Director:F R Benson
person not found on wiki	28th May 1983	Ophelia	Sarah Swingler	Director:Christopher Fettes
person not found on wiki	16th April 1902	Hamlet	F R Benson	Director:F R Benson
21 September 1944	4th December 1975	Ophelia	Susan Fleetwood	Director:Peter Hall
28 December 1949	28th May 1983	Hamlet	Hilton McRae	Director:Christopher Fettes
28 May 1910	20th July 1933	Ophelia	Rachel Kempson	Director:W Bridges-Adams
5 August 1937	4th June 1970	Hamlet	Alan Howard	Director:Trevor Nunn
person not found on wiki	13th November 2010	Iago	Mathew Shepherd	Director:Chris Scott
person not found on wiki	20th July 1933	Hamlet	Anew McMaster	Director:W Bridges-Adams
21 April 1969	16th October 2004	Hamlet	Toby Stephens	Director:Michael Boyd
21 January 1922	unknown opening	Hamlet	Paul Scofield	Director:Peter Brook
person not found on wiki	28th May 1983	Ophelia	Sarah Swingler	Director:Christopher Fettes
no birthday on article	13th November 2010	Desdemona	Claire Stewart	Director:Chris Scott
person not found on wiki	4th August 1915	Ophelia	Florence Glossop-Harris	Director:F R Benson
person not found on wiki	16th April 1926	Juliet	Rosaline Courtneidge	Director:W Bridges-Adams
no birthday on article	13th November 2010	Othello	Richard Davy	Director:Chris Scott
28 December 1949	28th May 1983	Hamlet	Hilton McRae	Director:Christopher Fettes
14 April 1904	28th June 1939	Hamlet	John Gielgud	Director:John Gielgud
27 January 1965	18th September 1993	Hamlet	Alan Cumming	Director:Stephen Unwin
person not found on wiki	18th September 1993	Ophelia	Hilary Lyon	Director:Stephen Unwin
person not found on wiki	unknown opening	Romeo	Oscar Pearce	Director:John Sheehan
August 6, 1951	unknown opening	Iago	Jack Klaff	Director:Paul Unwin
no birthday on article	5th July 1998	Ophelia	Derbhle Crotty	Director:Matthew Warchus
person not found on wiki	unknown opening	Desdemona	Melanie Thaw	Director:Paul Unwin
11 January 1977	unknown opening	Juliet	Tara Sharma	Director:John Sheehan
22 May 1907	unknown opening	Hamlet	Laurence Olivier	Director:Tyrone Guthrie
24 June 1961	unknown opening	Hamlet	Iain Glen	Director:Paul Unwin
18 September 1967	unknown opening	Ophelia	Tara Fitzgerald	Director:Jonathan Kent
person not found on wiki	unknown opening	Ophelia	Linda Gardner	Director:Frank Hauser
23 January 1918	unknown opening	Ophelia	Hazel Terry	Director:John Gielgud
18 January 1960	4th January 1990	Romeo	Mark Rylance	Director:Terry Hands
person not found on wiki	unknown opening	Romeo	Howard Southern	Director:Noreen Craven
10 May 1957	5th July 1998	Hamlet	Alex Jennings	Director:Matthew Warchus
4 September 1947	unknown opening	Othello	Jeffery Kissoon	Director:Paul Unwin
no birthday on article	4th January 1990	Juliet	Georgia Slowe	Director:Terry Hands
13 May 1944	unknown opening	Juliet	Vivien Heilbron	Director:Noreen Craven
person not found on wiki	4th August 1910	Ophelia	Ethel MacDowall	Director:F R Benson
27 January 1965	18th September 1993	Hamlet	Alan Cumming	Director:Stephen Unwin
person not found on wiki	4th August 1910	Hamlet	F R Benson	Director:F R Benson
7 June 1943	6th April 1981	Hamlet	Michael Pennington	Director:John Barton
no birthday on article	25th October 2003	Romeo	Jack Laskey	Director:unknown
9 May 1936	4th December 1975	Hamlet	Albert Finney	Director:Peter Hall
5 May 1906	21st April 1927	Ophelia	Lydia Sherwood	Director:W Bridges-Adams
1954	22nd September 1982	Ophelia	Kathryn Pogson	Director:Jonathan Miller
person not found on wiki	25th October 2003	Juliet	Kate McGuinness	Director:unknown
person not found on wiki	7th April 1942	Ophelia	Sara Jackson	Director:B Iden Payne
no birthday on article	4th December 2008	Romeo	David Dawson	Director:Neil Bartlett
no birthday on article	7th April 1942	Hamlet	George Hayes	Director:B Iden Payne
person not found on wiki	3rd May 1880	Iago	W H Hallatt	Director:Barry Sullivan
26 February 1864	6th May 1905	Ophelia	Constance Benson	Director:F R Benson
22 December 1907	18th October 1944	Ophelia	Peggy Ashcroft	Director:George Rylands
2 May 1946	24th September 1985	Iago	David Suchet	Director:Terry Hands
22 December 1962	unknown opening	Hamlet	Ralph Fiennes	Director:Jonathan Kent
person not found on wiki	3rd May 1880	Desdemona	Miss Masson	Director:Barry Sullivan
25 March 1897	21st April 1927	Hamlet	John Laurie	Director:W Bridges-Adams
person not found on wiki	6th May 1905	Hamlet	F R Benson	Director:F R Benson
14 February 1952	22nd September 1982	Hamlet	Anton Lesser	Director:Jonathan Miller
no birthday on article	3rd May 1880	Othello	Barry Sullivan	Director:Barry Sullivan
person not found on wiki	unknown opening	Ophelia	Tina Jones	Director:Michael Bogdanov
person not found on wiki	5th May 1913	Ophelia	Ethel McDowall	Director:F R Benson
no birthday on article	unknown opening	Hamlet	Philip Bowen	Director:Michael Bogdanov
no birthday on article	unknown opening	Romeo	Daniel Hawksford	Director:Terry Hands
person not found on wiki	5th May 1913	Hamlet	F R Benson	Director:F R Benson
20 October 1959	24th September 1985	Desdemona	Niamh Cusack	Director:Terry Hands
no birthday on article	21st April 2009	Iago	Conrad Nelson	Director:Barry Rutter
7 January 1982	7th October 2010	Ophelia	Ruth Negga	Director:Nicholas Hytner
8 May 1982	unknown opening	Juliet	Christina Cole	Director:Terry Hands
7 January 1982	7th October 2010	Ophelia	Ruth Negga	Director:Nicholas Hytner
8 October 1908	26th April 1886	Ophelia	Ethel Johnson	Director:F R Benson
person not found on wiki	26th April 1886	Hamlet	F R Benson	Director:F R Benson
10 July 1977	4th September 2000	Romeo	Chiwetel Ejiofor	Director:Tim Supple
person not found on wiki	30th April 1914	Ophelia	Madge Fabian	Director:Patrick Kirwan
14 April 1904	unknown opening	Hamlet	John Gielgud	Director:John Gielgud
person not found on wiki	4th September 2000	Juliet	Charlotte Randle	Director:Tim Supple
person not found on wiki	30th April 1914	Hamlet	Henry B Irving	Director:Patrick Kirwan
29 August 1958	21st April 2009	Othello	Lenny Henry	Director:Barry Rutter
17 February 1978	7th October 2010	Hamlet	Rory Kinnear	Director:Nicholas Hytner
person not found on wiki	8th April 1975	Ophelia	Yvonne Nicholson	Director:Buzz Goodbody
9 December 1934	unknown opening	Ophelia	Judi Dench	Director:Michael Benthall
17 February 1978	7th October 2010	Hamlet	Rory Kinnear	Director:Nicholas Hytner
no birthday on article	unknown opening	Hamlet	John Neville	Director:Michael Benthall
4 January 1983	2nd May 2001	Ophelia	Kerry Condon	Director:Steven Pimlott
21 September 1944	unknown opening	Ophelia	Susan Fleetwood	Director:unknown
21 September 1944	4th December 1975	Ophelia	Susan Fleetwood	Director:Peter Hall
18 April 1971	17th January 2001	Romeo	David Tennant	Director:Michael Boyd
31 December 1943	24th September 1985	Othello	Ben Kingsley	Director:Terry Hands
2 May 1946	7th January 1986	Iago	David Suchet	Director:Terry Hands
28 March 1969	17th January 2001	Juliet	Alexandra Gilbreath	Director:Michael Boyd
24 October 1967	30th June 1994	Ophelia	Jacqueline McKenzie	Director:Neil Armfield
no birthday on article	unknown opening	Ophelia	Julia Ford	Director:Robert Sturua
14 April 1904	18th October 1944	Hamlet	John Gielgud	Director:George Rylands
person not found on wiki	8th April 1937	Ophelia	Valerie Tudor	Director:B Iden Payne
20 October 1959	7th January 1986	Desdemona	Niamh Cusack	Director:Terry Hands
19 June 1966	2nd May 2001	Hamlet	Samuel West	Director:Steven Pimlott
23 January 1962	30th June 1994	Hamlet	Richard Roxburgh	Director:Neil Armfield
20 April 1902	8th April 1937	Hamlet	Donald Wolfit	Director:B Iden Payne
person not found on wiki	6th October 1913	Romeo	Murray Carrington	Director:F R Benson
person not found on wiki	5th November 1985	Ophelia	Deborah Poplett	Director:Cicely Berry
person not found on wiki	6th July 1977	Ophelia	Lynn Dearth	Director:John David
31 December 1943	8th April 1975	Hamlet	Ben Kingsley	Director:Buzz Goodbody
2 June 1932	6th July 1977	Hamlet	Alan Dobie	Director:John David
15 June 1945	unknown opening	Ophelia	Nicola Pagett	Director:Jonathan Miller
25 May 1939	11th November 1989	Iago	Ian McKellen	Director:Trevor Nunn
21 February 1946	unknown opening	Hamlet	Alan Rickman	Director:Robert Sturua
18 September 1956	5th November 1985	Hamlet	Tim McInnerny	Director:Cicely Berry
no birthday on article	unknown opening	Ophelia	Allison McKenzie	Director: Mark Thomson
4 January 1974	23rd November 1996	Ophelia	Flora Montgomery	Director:Julian Glover
person not found on wiki	unknown opening	Hamlet	Liam Brennan	Director: Mark Thomson
13 June 1892	11th August 1919	Romeo	Basil Rathbone	Director:W Bridges-Adams
9 May 1936	4th December 1975	Hamlet	Albert Finney	Director:Peter Hall
no birthday on article	5th July 1998	Romeo	Ray Fearon	Director:Michael Attenborough
person not found on wiki	unknown opening	Ophelia	Veronica Smart	Director:Yuri Lyubimov
20 February 1961	11th November 1989	Desdemona	Imogen Stubbs	Director:Trevor Nunn
person not found on wiki	5th July 1998	Juliet	Zoe Waites	Director:Michael Attenborough
10 July 1969	23rd November 1996	Hamlet	Jamie Glover	Director:Julian Glover
no birthday on article	unknown opening	Hamlet	Daniel Webb	Director:Yuri Lyubimov
30 March 1898	11th August 1919	Juliet	Joyce Carey	Director:W Bridges-Adams
person not found on wiki	5th August 1913	Ophelia	Ethel McDowall	Director:F R Benson
no birthday on article	26th September 1970	Iago	Lee Richardson	Director:Michael Kahn
31 December 1943	7th January 1986	Othello	Ben Kingsley	Director:Terry Hands
25 May 1939	unknown opening	Hamlet	Ian McKellen	Director:unknown
person not found on wiki	18th September 1993	Ophelia	Hilary Lyon	Director:Stephen Unwin
person not found on wiki	5th August 1913	Hamlet	F R Benson	Director:F R Benson
10 October 1946	11th November 1989	Othello	Willard White	Director:Trevor Nunn
21 September 1944	22nd November 1976	Ophelia	Susan Fleetwood	Director:Peter Hall
no birthday on article	23rd September 1997	Ophelia	Derbhle Crotty	Director:Matthew Warchus
