King Lear of Britain	Lee J. Cobb	Dec 08, 1911	Nov 07, 1968	56
Othello	James Earl Jones	Jan 17, 1931	Feb 03, 1982	51
Hamlet	Sam Waterston	Nov 15, 1940	Dec 17, 1975	35
Hamlet	Stephen Lang	Jul 11, 1952	Apr 02, 1992	39
Macbeth	Kelsey Grammer	Feb 21, 1955	Jun 15, 2000	45
Juliet	Claire Bloom	Feb 15, 1931	Oct 24, 1956	25
Hamlet	Ralph Fiennes	Dec 22, 1962	May 02, 1995	32
Iago	Christopher Plummer	Dec 13, 1929	Feb 03, 1982	52
Othello	Paul Robeson	Apr 09, 1898	Oct 19, 1943	45
Othello	Paul Robeson	Apr 09, 1898	May 22, 1945	47
Lady Macbeth	Anne-Marie Duff	Oct 08, 1970	Nov 21, 2013	43
Ophelia	Simone Valère	Aug 02, 1923	Dec 01, 1952	29
Ophelia	Rosalind Iden	Jul 29, 1908	Feb 26, 1947	38
Ophelia	Elizabeth McGovern	Jul 18, 1961	Apr 02, 1992	30
Lady Macbeth	Diane Venora	Aug 10, 1952	Jun 15, 2000	47
Romeo	John Neville	May 02, 1925	Oct 24, 1956	31
Ophelia	Tara FitzGerald	Sep 17, 1968	May 02, 1995	26
Iago	José Ferrer	Jan 08, 1912	Oct 19, 1943	31
Desdemona	Dianne Wiest	Mar 28, 1948	Feb 03, 1982	33
Macbeth	Jack Carter	Nov 09, 1967	Apr 09, 1936	-32
Hamlet	Maurice Evans	Jun 03, 1901	Jun 03, 1946	45
Lady Macbeth	Kate Fleetwood	Sep 24, 1972	Apr 08, 2008	35
Ophelia	Frances Reid	Dec 09, 1914	Jun 03, 1946	31
Ophelia	Katherine Locke	Not found	Dec 04, 1939	 
Lady Macbeth	Coral Browne	Jul 23, 1913	Oct 29, 1956	43
Lady Macbeth	Gladys Cooper	Dec 18, 1888	Oct 07, 1935	46
Macbeth	Nicol Williamson	Sep 14, 1936	Jan 28, 1982	45
Juliet	Vivien Leigh	Nov 05, 1913	May 09, 1940	26
Ophelia	Eleanor Goodrich	Not found	Dec 25, 1934	 
Lady Macbeth	Florence Reed	Jan 10, 1883	Nov 19, 1928	45
Macbeth	Robert B. Mantell	Not found	Feb 01, 1915	 
Hamlet	Jude Law	Dec 29, 1972	Oct 06, 2009	36
Lady Macbeth	Virginia Bronson	Not found	Mar 24, 1930	 
Othello	Robert B. Mantell	Not found	Feb 01, 1915	 
Macbeth	Paul Rogers	Mar 22, 1917	Oct 29, 1956	39
Juliet	Olivia de Havilland	Jul 01, 1916	Mar 10, 1951	34
Romeo	Donald Cameron	Jul 11, 1955	Apr 21, 1930	-26
Romeo	Laurence Olivier	May 22, 1907	May 09, 1940	32
Macbeth	Fritz Leiber	Jan 31, 1882	Jan 16, 1922	39
Macbeth	Fritz Leiber	Jan 31, 1882	Mar 24, 1930	48
Lady Macbeth	Florence Auer	May 14, 1962	Feb 01, 1915	-48
Hamlet	Walter Hampden	Jun 30, 1879	Dec 25, 1934	55
Ophelia	Gugu Mbatha-Raw	Apr 21, 1983	Oct 06, 2009	26
Desdemona	Genevieve Hamper	Not found	Feb 01, 1915	 
Romeo	Douglas Watson	Feb 24, 1921	Mar 10, 1951	30
Ophelia	Amy Levitt	Not found	Mar 03, 1969	 
Desdemona	Gladys Cooper	Dec 18, 1888	Sep 27, 1935	46
Lady Macbeth	Maureen Anderman	Oct 26, 1946	Jan 22, 1981	34
Lady Macbeth	Glenda Jackson	May 09, 1936	Apr 21, 1988	51
Lady Macbeth	Olive Oliver	Nov 07, 1961	Jan 16, 1922	-40
Ophelia	Barbara Jefford	Jul 26, 1930	Dec 16, 1958	28
Hamlet	John Barrymore	Feb 14, 1882	Nov 16, 1922	40
Iago	Fritz Leiber	Jan 31, 1882	Feb 01, 1915	33
Macbeth	Robert B. Mantell	Not found	Apr 16, 1917	 
Hamlet	John Neville	May 02, 1925	Dec 16, 1958	33
Juliet	Eva Le Gallienne	Jan 11, 1899	Apr 21, 1930	31
Macbeth	Philip Anglim	Feb 11, 1953	Jan 22, 1981	27
Hamlet	Ellis Rabb	Jun 20, 1930	Mar 03, 1969	38
Macbeth	Christopher Plummer	Dec 13, 1929	Apr 21, 1988	58
Ophelia	Celia Johnson	Dec 18, 1908	Nov 05, 1931	22
Iago	Kenneth MacKenna	Aug 19, 1899	Sep 27, 1935	36
Ophelia	Rosalind Fuller	Feb 16, 1901	Nov 16, 1922	21
Lady Macbeth	Genevieve Hamper	Not found	Apr 16, 1917	 
Lady Macbeth	Viola Allen	Oct 27, 1869	Feb 07, 1916	46
Juliet	Katharine Cornell	Feb 16, 1893	Dec 20, 1934	41
Ophelia	Francesca Annis	May 14, 1944	May 01, 1969	24
Hamlet	Maurice Evans	Jun 03, 1901	Dec 13, 1945	44
Hamlet	Basil Sydney	Apr 23, 1894	Nov 09, 1925	31
Othello	Philip Merivale	Nov 02, 1886	Sep 27, 1935	48
King Lear of Britain	Louis Calhern	Feb 19, 1895	Dec 25, 1950	55
Hamlet	Raymond Massey	Aug 30, 1896	Nov 05, 1931	35
Romeo	Donald Cameron	Jul 11, 1955	Oct 06, 1930	-25
Hamlet	Nicol Williamson	Sep 14, 1936	May 01, 1969	32
Ophelia	Frances Reid	Dec 09, 1914	Dec 13, 1945	31
Romeo	Basil Rathbone	Jun 13, 1892	Dec 20, 1934	42
Macbeth	James K. Hackett	Sep 06, 1869	Feb 07, 1916	46
Ophelia	Helen Chandler	Feb 01, 1906	Nov 09, 1925	19
Lady Macbeth	Andrea Weber	Not found	Jan 28, 1982	 
Hamlet	E. H. Sothern	Dec 06, 1859	Oct 06, 1919	59
Fool	Norman Lloyd	Nov 08, 1914	Dec 25, 1950	36
Juliet	Virginia Bronson	Not found	Jan 16, 1922	 
Ophelia	Mabel Moore	Not found	Nov 22, 1918	 
Macbeth	Walter Hampden	Jun 30, 1879	Dec 07, 1918	39
Macbeth	Patrick Stewart	Jul 13, 1940	Apr 08, 2008	67
Ophelia	Marie Carroll	Not found	Mar 24, 1930	 
King Lear of Britain	Fritz Leiber	Jan 31, 1882	Dec 25, 1930	48
Hamlet	Maurice Evans	Jun 03, 1901	Dec 04, 1939	38
Juliet	Eva Le Gallienne	Jan 11, 1899	Oct 06, 1930	31
Romeo	Fritz Leiber	Jan 31, 1882	Jan 16, 1922	39
Romeo	George Relph	Jan 27, 1888	Nov 22, 1915	27
Ophelia	Julia Marlowe	Aug 17, 1866	Sep 22, 1913	47
Lady Macbeth	Gilda Varesi	Not found	Dec 07, 1918	 
Ophelia	Julia Marlowe	Aug 17, 1866	Oct 06, 1919	53
Hamlet	Fritz Leiber	Jan 31, 1882	Mar 24, 1930	48
Othello	Walter Hampden	Jun 30, 1879	Jan 10, 1925	45
Macbeth	Lionel Barrymore	Apr 28, 1878	Feb 17, 1921	42
Juliet	Khyva St. Albans	Not found	Nov 22, 1915	 
Macbeth	Lyn Harding	Oct 12, 1876	Nov 19, 1928	52
Macbeth	Walter Hampden	Jun 30, 1879	Apr 19, 1921	41
Iago	Baliol Holloway	Feb 28, 1883	Jan 10, 1925	41
Hamlet	Walter Hampden	Jun 30, 1879	Nov 22, 1918	39
Lady Macbeth	Julia Arthur	May 03, 1868	Feb 17, 1921	52
Hamlet	Walter Hampden	Jun 30, 1879	Oct 10, 1925	46
Lady Macbeth	Mary Hall	Not found	Apr 19, 1921	 
Desdemona	Mabel Moore	Not found	Jan 10, 1925	 
Romeo	E. H. Sothern	Dec 06, 1859	Dec 05, 1910	51
Lady Macbeth	Julia Marlowe	Aug 17, 1866	Sep 22, 1913	47
Hamlet	E. H. Sothern	Dec 06, 1859	Jan 27, 1908	48
Hamlet	E. H. Sothern	Dec 06, 1859	Sep 22, 1913	53
Macbeth	Robert B. Mantell	Not found	Mar 08, 1909	 
Desdemona	Jeannette Sherwin	Not found	Jan 10, 1925	 
Othello	Robert B. Mantell	Not found	Mar 08, 1909	 
King Lear of Britain	Robert B. Mantell	Not found	Apr 16, 1917	 
Ophelia	Ethel Barrymore	Aug 15, 1879	Oct 10, 1925	46
Hamlet	Robert B. Mantell	Not found	Feb 01, 1915	 
Lady Macbeth	Marie Booth Russell	Not found	Mar 08, 1909	 
Desdemona	Marie Booth Russell	Not found	Mar 08, 1909	 
Ophelia	Genevieve Hamper	Not found	Feb 01, 1915	 
Juliet	Julia Marlowe	Aug 17, 1866	Jun 10, 1907	40
Hamlet	Robert B. Mantell	Not found	Mar 08, 1909	 
Iago	William Faversham	Feb 12, 1868	Feb 09, 1914	46
Romeo	Robert B. Mantell	Not found	Mar 08, 1909	 
Macbeth	E. H. Sothern	Dec 06, 1859	Sep 22, 1913	53
Hamlet	Robert B. Mantell	Not found	Apr 16, 1917	 
King Lear of Britain	Robert B. Mantell	Not found	Feb 01, 1915	 
Juliet	Marie Booth Russell	Not found	Mar 08, 1909	 
Ophelia	Marie Booth Russell	Not found	Mar 08, 1909	 
King Lear of Britain	Robert B. Mantell	Not found	Apr 29, 1907	 
Ophelia	Genevieve Hamper	Not found	Apr 16, 1917	 
Macbeth	Robert B. Mantell	Not found	Apr 29, 1907	 
Desdemona	Cecilia Loftus	Oct 22, 1876	Feb 09, 1914	37
Juliet	Julia Marlowe	Aug 17, 1866	Sep 22, 1913	47
Hamlet	John E. Kellerd	May 14, 1862	Feb 04, 1913	50
Fool	John Forrest	Not found	Dec 25, 1930	 
Romeo	Robert B. Mantell	Not found	Feb 01, 1915	 
Romeo	E. H. Sothern	Dec 06, 1859	Jun 10, 1907	47
Lady Macbeth	Marie Booth Russell	Not found	Apr 29, 1907	 
Othello	R.D. MacLean	Mar 07, 1859	Feb 09, 1914	54
Ophelia	Isobel Merson	Not found	Feb 04, 1913	 
Ophelia	Julia Marlowe	Aug 17, 1866	Jan 21, 1907	40
Juliet	Genevieve Hamper	Not found	Feb 01, 1915	 
Ophelia	Kate Rorke	Not found	Mar 13, 1905	 
Macbeth	Sayre Crawley	Mar 07, 1948	Jan 17, 1910	-39
Hamlet	E. H. Sothern	Dec 06, 1859	May 18, 1908	48
Juliet	Maude Adams	Nov 11, 1872	May 08, 1899	26
Romeo	E. H. Sothern	Dec 06, 1859	Sep 22, 1913	53
Juliet	Julia Marlowe	Aug 17, 1866	Nov 20, 1911	45
Lady Macbeth	Keith Wakeman	Not found	Jan 17, 1910	 
Ophelia	Gertrude Elliott	Dec 14, 1874	Mar 08, 1904	29
Juliet	Julia Marlowe	Aug 17, 1866	Dec 05, 1910	44
Hamlet	Sarah Bernhardt	Oct 23, 1844	Nov 26, 1900	56
Othello	Robert B. Mantell	Not found	Apr 29, 1907	 
Hamlet	E. H. Sothern	Dec 06, 1859	Mar 29, 1909	49
Romeo	William Faversham	Feb 12, 1868	May 08, 1899	31
Ophelia	Julia Marlowe	Aug 17, 1866	Jun 10, 1907	40
Hamlet	Lewis Hallam	Not found	Nov 26, 1761	 
Ophelia	Viola Knott	Not found	Apr 23, 1912	 
Ophelia	Helen Hawthorne	Not found	Feb 14, 1905	 
Hamlet	Johnston Forbes-Robertson	Jan 16, 1853	Mar 08, 1904	51
Hamlet	Edwin Booth	Nov 13, 1833	Nov 1864	 
Hamlet	Edmund Russell	Not found	Apr 28, 1903	 
Romeo	E. H. Sothern	Dec 06, 1859	Nov 20, 1911	51
Hamlet	Aldora Shem	Not found	Feb 14, 1905	 
Macbeth	Robert B. Mantell	Not found	Oct 23, 1905	 
Juliet	Julia Marlowe	Aug 17, 1866	Jan 21, 1907	40
Ophelia	Mrs. Frank S. Chanfrau	Not found	Nov 1864	 
Ophelia	Jane Schenck	Not found	Apr 28, 1903	 
Hamlet	Ian Maclaren	May 01, 1875	Apr 23, 1912	37
Ophelia	Cecilia Loftus	Oct 22, 1876	Dec 30, 1902	26
Hamlet	E. H. Sothern	Dec 06, 1859	Jan 21, 1907	47
Lady Macbeth	Marie Booth Russell	Not found	Oct 23, 1905	 
Hamlet	E. H. Sothern	Dec 06, 1859	Jun 10, 1907	47
Romeo	Mr. Rigby	Not found	Jan 28, 1754	 
Macbeth	Lewis Hallam	Not found	May 03, 1768	 
Ophelia	Virginia Harned	Apr 29, 1946	Sep 17, 1900	-46
Juliet	Julia Marlowe	Aug 17, 1866	Feb 07, 1910	43
King Lear of Britain	Robert B. Mantell	Not found	Oct 23, 1905	 
Desdemona	Marie Booth Russell	Not found	Apr 29, 1907	 
Hamlet	Edwin Booth	Nov 13, 1833	Jan 05, 1870	36
Romeo	Kyrle Bellew	Mar 28, 1855	May 25, 1903	48
Romeo	E. H. Sothern	Dec 06, 1859	Jan 21, 1907	47
Hamlet	Johnston Forbes-Robertson	Jan 16, 1853	Mar 13, 1905	52
Macbeth	Thomas Hamblin	Not found	May 07, 1849	 
Macbeth	Edwin Booth	Nov 13, 1833	Mar 28, 1870	36
Hamlet	E. H. Sothern	Dec 06, 1859	Dec 30, 1902	43
King Lear of Britain	Robert B. Mantell	Not found	Mar 08, 1909	 
Ophelia	Julia Marlowe	Aug 17, 1866	Oct 17, 1904	38
Juliet	Eleanor Robson	Dec 13, 1878	May 25, 1903	24
Macbeth	William Charles Macready	Apr 27, 1873	May 07, 1849	-24
Romeo	Mrs. James W. Wallack, Jr.	Not found	1850	 
Hamlet	E. H. Sothern	Dec 06, 1859	Sep 17, 1900	40
Romeo	E. H. Sothern	Dec 06, 1859	Feb 07, 1910	50
Ophelia	Cecilia Loftus	Oct 22, 1876	Mar 23, 1903	26
King Lear of Britain	Reginald Pole	Not found	Mar 09, 1923	 
Juliet	Katherine Wemyss	Not found	1850	 
Juliet	Julia Marlowe	Aug 17, 1866	Oct 16, 1905	39
Romeo	Edmund Breese	Jun 18, 1871	Feb 16, 1903	31
Hamlet	Robert B. Mantell	Not found	Oct 23, 1905	 
Juliet	Jane Cowl	Dec 14, 1883	Jan 24, 1923	39
Juliet	Fernanda Eliscu	Apr 24, 1880	Feb 16, 1903	22
Hamlet	E. H. Sothern	Dec 06, 1859	Oct 17, 1904	44
Othello	Robert B. Mantell	Not found	Dec 05, 1904	 
Ophelia	Marie Booth Russell	Not found	Oct 23, 1905	 
Hamlet	E. H. Sothern	Dec 06, 1859	Mar 23, 1903	43
Romeo	E. H. Sothern	Dec 06, 1859	Oct 16, 1905	45
Desdemona	Marie Booth Russell	Not found	Dec 05, 1904	 
Romeo	Rollo Peters	Not found	Jan 24, 1923	 
Lady Macbeth	Clare Eames	Aug 05, 1896	Mar 15, 1924	27
Juliet	Mrs. Hallam	Not found	Jan 28, 1754	 
Macbeth	Edwin Forrest	Dec 12, 1872	May 07, 1849	-24
Juliet	Julia Marlowe	Aug 17, 1866	Oct 17, 1904	38
Macbeth	James K. Hackett	Sep 06, 1869	Mar 15, 1924	54
Juliet	Ethel Barrymore	Aug 15, 1879	Dec 27, 1922	43
Hamlet	John Barrymore	Feb 14, 1882	Nov 26, 1923	41
Romeo	E. H. Sothern	Dec 06, 1859	Oct 17, 1904	44
Ophelia	Rosalind Fuller	Feb 16, 1901	Nov 26, 1923	22
Romeo	McKay Morris	Dec 22, 1891	Dec 27, 1922	31
Othello	Robert B. Mantell	Not found	Oct 23, 1905	 
Iago	Charles Barron	Not found	Mar 23, 1865	 
Desdemona	Marie Booth Russell	Not found	Oct 23, 1905	 
Othello	Robert Upton	Not found	Dec 23, 1751	 
Othello	Edwin Booth	Nov 13, 1833	Mar 23, 1865	31
Fool	Beata Karm	Not found	Mar 09, 1923	 
