24 October 1967	30th June 1994	Ophelia	Jacqueline McKenzie
14 April 1904	18th October 1944	Hamlet	John Gielgud
2015 and 2016	unknown opening	Ophelia	Julia Ford
no birthday on article	8th April 1937	Ophelia	Valerie Tudor
20 October 1959	7th January 1986	Desdemona	Niamh Cusack
20 April 1902	8th April 1937	Hamlet	Donald Wolfit
23 January 1962	30th June 1994	Hamlet	Richard Roxburgh
no birthday on article	6th July 1977	Ophelia	Lynn Dearth
19 June 1966	2nd May 2001	Hamlet	Samuel West
no birthday on article	5th November 1985	Ophelia	Deborah Poplett
31 December 1943	8th April 1975	Hamlet	Ben Kingsley
no birthday on article	6th October 1913	Romeo	Murray Carrington
2 June 1932	6th July 1977	Hamlet	Alan Dobie
15 June 1945	unknown opening	Ophelia	Nicola Pagett
4 January 1974	23rd November 1996	Ophelia	Flora Montgomery
18 September 1956	5th November 1985	Hamlet	Tim McInnerny
24 November 2016	unknown opening	Ophelia	Allison McKenzie
21 February 1946	unknown opening	Hamlet	Alan Rickman
no birthday on article	unknown opening	Hamlet	Liam Brennan
10 July 1969	23rd November 1996	Hamlet	Jamie Glover
25 May 1939	11th November 1989	Iago	Ian McKellen
9 May 1936	4th December 1975	Hamlet	Albert Finney
13 June 1892	11th August 1919	Romeo	Basil Rathbone
3 March 2010	5th July 1998	Romeo	Ray Fearon
26 June 2017	26th September 1970	Iago	Lee Richardson
no birthday on article	unknown opening	Ophelia	Veronica Smart
no birthday on article	5th July 1998	Juliet	Zoe Waites
31 December 1943	7th January 1986	Othello	Ben Kingsley
25 May 1939	unknown opening	Hamlet	Ian McKellen
16 October 2017	unknown opening	Hamlet	Daniel Webb
no birthday on article	5th August 1913	Ophelia	Ethel McDowall
30 March 1898	11th August 1919	Juliet	Joyce Carey
10 February 1954	2nd July 1980	Ophelia	Carol Royle
22 October 2017	23rd September 1997	Ophelia	Derbhle Crotty
20 February 1961	11th November 1989	Desdemona	Imogen Stubbs
no birthday on article	5th August 1913	Hamlet	F R Benson
no birthday on article	18th September 1993	Ophelia	Hilary Lyon
25 May 1939	24th August 1989	Iago	Ian McKellen
June 13, 2017	26th September 1970	Desdemona	Roberta Maxwell
21 September 1944	22nd November 1976	Ophelia	Susan Fleetwood
13 June 1892	13th August 1915	Romeo	Basil Rathbone
30 July 1944	17th November 1979	Hamlet	Frances de la Tour
1492 to 1494	21st April 1934	Romeo	John Wyse
no birthday on article	13th August 1915	Juliet	Dorothie Pidcock
26 February 1864	27th April 1905	Juliet	Constance Benson
7 June 1943	2nd July 1980	Hamlet	Michael Pennington
10 October 1946	11th November 1989	Othello	Willard White
October 2, 1929	26th September 1970	Othello	Moses Gunn
no birthday on article	18th March 1993	Ophelia	Joanne Pearce
7 March 2017	6th October 1913	Ophelia	Dorothy Green
28 May 1910	21st April 1934	Juliet	Rachel Kempson
20 December 1959	24th November 2007	Iago	Sean Campion
no birthday on article	26th July 1911	Romeo	Murray Carrington
20 February 1961	24th August 1989	Desdemona	Imogen Stubbs
no birthday on article	6th October 1913	Hamlet	F R Benson
19 June 1929	7th March 1959	Ophelia	Thelma Barlow
13 January 1964	15th July 2000	Ophelia	Cathryn Bradshaw
14 June 1949	15th April 2004	Iago	Antony Sher
10 October 1946	24th August 1989	Othello	Willard White
9 January 2012	24th November 2007	Desdemona	Sinead Keenan
22 January 1878	26th July 1911	Juliet	Constance Collier
28 October 1913	16th April 1936	Romeo	Peter Glenville
no birthday on article	29th April 2006	Iago	Wolfgang Pregler
25 March 1965	24th November 2007	Othello	Nick Monu
25 October 2017	16th April 1936	Juliet	Pamela Brown
27 January 1965	18th September 1993	Hamlet	Alan Cumming
25 March 2008	15th April 2004	Desdemona	Lisa Dillon
30 September 2009	14th October 2006	Romeo	Rupert Evans
10 April 2017	7th June 1945	Romeo	David Peel
7 April 1934	7th March 1959	Hamlet	Ian Richardson
no birthday on article	30th May 2009	Iago	Richard Kidd
3 November 2009	6th March 1967	Romeo	Gawn Grainger
12 March 1960	15th April 2004	Othello	Sello Maake Ka-Ncube
20 February 1978	29th April 2006	Desdemona	Julia Jentsch
no birthday on article	30th May 2009	Desdemona	Ffion Jolly
1 September 1981	14th October 2006	Juliet	Morven Christie
10 February 1954	17th September 1981	Ophelia	Carol Royle
31 December 2015	30th May 2009	Othello	Victor Power
29 October 1948	29th April 2006	Othello	Thomas Thieme
6 August 1923	7th June 1945	Juliet	Moira Lister
12 January 1961	15th July 2000	Hamlet	Simon Russell Beale
no birthday on article	27th July 2013	Romeo	Boris Mitkov
10 August 1914	29th May 1956	Desdemona	Margaret Johnston
19 October 2016	unknown opening	Iago	David Calder
5 June 1919	5th April 1947	Romeo	Laurence Payne
10 December 1960	18th March 1993	Hamlet	Kenneth Branagh
no birthday on article	27th July 2013	Juliet	Loren O’Brien
9 May 1936	22nd November 1976	Hamlet	Albert Finney
6 August 1926	unknown opening	Iago	Frank Finlay
11 December 2017	2nd December 1971	Romeo	Richard Kay
5 April 1946	6th March 1967	Juliet	Jane Asher
3 March 1928	5th April 1947	Juliet	Daphne Slater
January 8, 2010	unknown opening	Desdemona	Kate Fahy
27 October 1953	unknown opening	Romeo	Peter Firth
no birthday on article	2nd December 1971	Juliet	Louise Purnell
26 February 1864	16th April 1898	Ophelia	Constance Benson
21 August 1879	30th April 1908	Romeo	Henry Ainley
1 December 2015	22nd February 2003	Iago	Christopher Middleton
10 November 1911	29th May 1956	Othello	Harry Andrews
no birthday on article	unknown opening	Juliet	Veronica Quilligan
no birthday on article	16th April 1898	Hamlet	F R Benson
28 September 1939	unknown opening	Othello	Rudolph Walker
1 October 2017	7th July 1930	Iago	George Hayes
26 February 1967	22nd February 2003	Desdemona	Mandana Jones
no birthday on article	25th August 1913	Romeo	Murray Carrington
22 January 1878	30th April 1908	Juliet	Constance Collier
no birthday on article	18th September 1993	Ophelia	Hilary Lyon
19 June 1957	28th August 1991	Romeo	Michael Maloney
7 March 2017	25th August 1913	Juliet	Dorothy Green
no birthday on article	22nd February 2003	Othello	Ricky Fearon
10 May 1906	7th July 1930	Desdemona	Joyce Bland
24 March 2016	7th March 2009	Iago	Michael Gould
15 September 2016	unknown opening	Romeo	Clarence Smith
13 January 2018	14th April 1987	Romeo	Sean Bean
no birthday on article	7th July 1930	Othello	Wilfrid Walter
12 January 1964	28th August 1991	Juliet	Clare Holman
24 October 1967	30th June 1994	Ophelia	Jacqueline McKenzie
1 November 1984	7th March 2009	Desdemona	Natalia Tena
20 October 1959	14th April 1987	Juliet	Niamh Cusack
no birthday on article	7th March 2009	Othello	Patrice Naiambana
19 May 1967	unknown opening	Juliet	Geraldine Somerville
14 June 1949	17th July 2004	Iago	Antony Sher
10 February 1954	10th March 1981	Ophelia	Carol Royle
13 June 1892	20th April 1915	Romeo	Basil Rathbone
1978 to 2008	1st June 1974	Romeo	Martin Connor
23 January 1962	30th June 1994	Hamlet	Richard Roxburgh
27 January 1965	18th September 1993	Hamlet	Alan Cumming
no birthday on article	20th April 1915	Juliet	Dorothie Pidcock
25 March 2008	17th July 2004	Desdemona	Lisa Dillon
28 November 1948	1st June 1974	Juliet	Sammie Winmill
no birthday on article	28th April 1886	Iago	Mr Thalberg
7 June 1943	10th March 1981	Hamlet	Michael Pennington
no birthday on article	18th September 1993	Ophelia	Hilary Lyon
12 March 1960	17th July 2004	Othello	Sello Maake Ka-Ncube
3 January 2018	12th December 1958	Romeo	Richard Johnson
8 October 1908	28th April 1886	Desdemona	Ethel Johnson
12 September 1931	13th September 1967	Romeo	Ian Holm
no birthday on article	18th September 1993	Ophelia	Hilary Lyon
no birthday on article	28th April 1886	Othello	F R Benson
28 March 1940	13th September 1967	Juliet	Estelle Kohler
no birthday on article	15th August 1914	Romeo	Murray Carrington
28 December 1934	unknown opening	Desdemona	Maggie Smith
no birthday on article	15th July 1961	Iago	William Shust
7 March 2017	15th August 1914	Juliet	Dorothy Green
8 April 1930	12th December 1958	Juliet	Dorothy Tutin
no birthday on article	15th July 1961	Desdemona	Judy Farnk
18 April 1971	5th July 2000	Romeo	David Tennant
13 January 2018	21st February 1987	Romeo	Sean Bean
no birthday on article	15th July 1961	Othello	Don Gunderson
November 7, 1942	9th September 2006	Macbeth	Tom Peters
28 March 1969	5th July 2000	Juliet	Alexandra Gilbreath
29 December 1946	unknown opening	Ophelia	Marianne Faithfull
23 August 1945	14th August 1980	Iago	Bob Peck
7 June 1909	14th November 1934	Ophelia	Jessica Tandy
27 January 1965	18th September 1993	Hamlet	Alan Cumming
no birthday on article	18th July 1924	Ophelia	Ethel Carrington
24 May 2015	25th February 1985	Romeo	Simon Templeman
20 October 1959	21st February 1987	Juliet	Niamh Cusack
27 January 1965	18th September 1993	Hamlet	Alan Cumming
August 7, 1951	14th August 1980	Desdemona	Suzanne Bertish
November 13, 1946	9th September 2006	Lady Macbeth	Eleanor Montgomery
no birthday on article	8th March 1929	Iago	Julian D’Albie
30 June 1950	unknown opening	Romeo	Leonard Whiting
April 23, 1969	18th July 1924	Hamlet	Arthur Phillips
7 September 1913	25th November 1952	Othello	Anthony Quayle
1983 to 1991	25th February 1985	Juliet	Amanda Root
14 September 1936	unknown opening	Hamlet	Nicol Williamson
8 November 1974	8th October 2004	Romeo	Matthew Rhys
no birthday on article	27th April 1912	Romeo	Murray Carrington
1 August 1904	8th March 1929	Desdemona	Daphne Heard
no birthday on article	2nd May 1941	Romeo	Godfrey Kenton
31 January 2012	24th November 1984	Macbeth	Louis Mellis
7 March 2017	27th April 1912	Juliet	Dorothy Green
8 March 2013	8th March 1929	Othello	Scott Sunderland
18 June 1951	24th November 1984	Lady Macbeth	Michelle Newell
2 July 2017	25th October 2008	Romeo	David Dawson
2 July 2017	25th October 2008	Romeo	David Dawson
no birthday on article	25th October 2008	Juliet	Anneika Rose
no birthday on article	25th October 2008	Juliet	Anneika Rose
17 April 1951	unknown opening	Juliet	Olivia Hussey
9 October 1923	14th August 1980	Othello	Donald Sinden
13 February 1912	2nd May 1941	Juliet	Margaretta Scott
1 October 2017	23rd April 1930	Iago	George Hayes
19 November 2016	unknown opening	Macbeth	Paul Higgins
